Text,Sentiment
forwarded steven j keannaenron james steffes janel jeff joe john karen linda mark mary paul richard sandra steven j susan j maranaenron fact converted talking point fact sheet ca team thanks jim forwarded james steffesnaenron mary schoen kristin clayton jeffrey james harry richard janel jeff sandra susan j paul attached memo comparing cec forecasted supply realistic look additional resource might available summer bottom line cec significantly underestimate outage occur summer estimate mw supply deficit summer expected outage around mw however saw significantly higher outage level mws ferc investigated outage found impropriety plant overtaxed running higher normal capacity lot uncertainty surrounding mws projected supply reratingrestarting existing thermal renewable project unclear much able come line summer evidenced local community opposed restarting shut unit addition unit likely uneconomical existing resource pool roughly mws peaking generation unit running operating hour limitation air quality regulation governor ordered local air quality district address restriction beginning seem movement however u epa yet weigh relaxed standard distributed generationbackup generation capacity make shortfall still unknown relaxing limitation run hour backup generation essential public service increase dg expected clean source diesel emergency generator cec everything get mw peaking unit online summer promising day permit application approval process offering pay half cost offset clean source generation critical area please let question need additional information cec summer forecasted peak demand resource balance list peakers running operating hour limitation also available hard copy format please fax number would like copy table fully executed ca iso summer reliability agreement iso peaking facility table summer supply option renewables construction status summary table summer supply option rerate noncec project table summer supply option cec rerate status summary table idle biomass plant potentially capable restart mary schoen environmental strategy corp,Neutral
forwarded tana joneshouect walter mark brant debbie r david lesli cynthia mary g europe global contract facility europe global stephanie bradley tom adnan claudia william lisa juana jana trang paul sonya lee tim karen tanya kelly kelly attached eol spreadsheet amendment highlighted yellow please let clarification needed thanks walter,Neutral
forwarded tana joneshouect walter mark brant debbie r david lesli cynthia europe global contract europe global stephanie tom claudia william lisa juana jana trang paul sonya tim karen tanya kelly brian lindsayenron communication eol call bernice bill amy heffernanenron communication molly lafuzeenron communication danny clarkenron communication please see attached,Neutral
forwarded tana joneshouect notice exchange member member firm exchange clearing member neil wolkoff executive vice president subject cost incentive program brent trading board director new york mercantile exchange inc agreed waive clearing exchange fee new brent crude oil future contract first trading offer rebate three month light sweet crude future contract traded offset position exchange brent future contract rebate cent per side depending type trade currently range nine cent per side please click link indicate received note click line nothing happens please copy text quote open internet browser paste web site address press return,Positive
forwarded tana joneshouect susan bailey larry joe david p jarrod sheetal gordon pamela souad derek kevin bruce jean harry charlie bob william debbie r nidia tanya brant rod tracy john russell lesli molly kevin p veronica marie sara mark susan carol st tana mary marilyn yolanda diane lynn e bill leslie jason dianne samuel anthony connie karen frank l carrie julie mary g bernice sheri lisa amber adnan recieved executed termination agreement dated effective hn gas limited partnership ena termination enfolio master firm purchasesale agreement dated physical transaction b master agreement dated financial transaction copy wil distributed,Neutral
forwarded tana joneshouect bradley diebner samuel sheri mark bernice brant debbie r david lesli molly cynthia mary g europe global contract facility europe global counterparty stephanie bradley stacey tom adnan claudia eol approval attached regard bd,Neutral
forwarded tana joneshouect leslie hansen tana rob understand speaking andy zipper invited submit preferred form nda light objection overly broad nature nda andy asked follow touch base find expect see nda thanks leslie hansen,Neutral
forwarded tana joneshouect tom moran believe authored james carville new york ap new york mets announced today going court get additional inning added end game world series batting pitching bench coach mets held press conference earlier today joined member major league player union meant hit pitch yankee pitcher said mets batting coach confused irregularity pitch received believe denied right hit one claim specifically noted small percentage mets batter intended swing fast ball actually swung curve ball clear batter never intended swing curve ball though much higher percentage confused pitch reporter press conference pointed mets extensively reviewed film yankee pitcher prior world series fact faced yankee interleague play earlier fact remains pitch confused u denied u right hit said mets batting coach world series yet yankee celebrating prematurelymajor league baseball reviewed telecast world series game recounted ball strike called umpire game strike called mets fact ball enough change outcome world series commissioner said another portion mets legal claim stated based onbase percentage mets actually world series regardless final score game clear slightly onbase often yankee said mets spokesman world series crown rightly oursthe manager mets remained relative seclusion engaging light jogging exercise stated belief need let process run course without rush judgment,Neutral
forwarded tana joneshouect david hufton thank nda would like clarify mind stage commit furnish information implied first sentence document appropriate wording event provision information wrote file transmitted confidential intended solely use individual entity addressed received error please notify system manager unless stated contrary opinion message personal attributed pvm oil associate ltd,Neutral
blackberry wireless handheld tue nov meeting kevin howard today would like attend thanks blackberry wireless handheld,Neutral
shy botbotbot,Neutral
dean witter,Neutral
website importance high please populate attached worksheetsstack website east west financial gas trader access return complete let question file u gas stack website new version xl thank stephanie sever x please populate attached worksheet stack manager website access added gas product type drop userproduct type populate read execute none read website id additional population necessary please add remove name necessary return complete let question file u gas stack website new version xl thank stephanie sever enrononline,Neutral
nan,Neutral
nan,Neutral
forwarded elizabeth sagerhouect sheila tweed forwarded sheila tweedhouect mary hain joseph alamo jeff alexander al keonee almaida brenda anderson alan b samuel behrends jim byrne doug carmichael ed cassidy melissa chiechi bill comish victor contract frederick coolbroth wanda mary doyle jay dudley katherine edward chris elliott jim fallon elia farrah willard field pat franklin john frazzell jackie gallagher alvaro pat gilman alex goldberg mary groggin mark e stephen hall leo hamblin scott helyer marlene richard karen e paul jeffrey devon kehoe james keller rick kessler harry harry john klauberg holli john lamb therese lamb debi levine robert loeffler chris long rlopezv mark maehr randal john sueyen mao susan j susan j lee wayne michael sandra travis michael mcdonald maureen mcvicker jeffrey laura miller bill miner rich nassief patty nichols christi nicolay sarah sarah tom wouldonnell pegy old carol opatrny dave parquet mona l phillip alfred walt kevin dale scott rasmussen bobby jeff richard sander michael diana roger seifert cara semperger richard shapiro vicki mike joshua sheinkman sid mike smith roger smith larry harvey spigal james james mike ron ect james k jake thomas ann tumlinson aw turner sheila tweed lisa urick frank w john walley steve kim carol wardell brian whalen bill greg vickie ed steve wright teresa l wscc charles yeung christian steven j steve kean travel park brett carla bernadette hawkins joe donna fulton roger james b michael terry w stacy ginger rhonda l jeff sean ect tom stacey bolton dennis dennis tim robert phillip k alan comnes lysa portland west desk alan alberto aleck allison amy barbara bernadette bill carlos gustavo carmen carolyn charles chauncey chris christi l cynthia damon dan daniel dave donald donna eidy elizabeth frank geriann ginger gisele gloria guillermo harry howard james janine javier jean r jean jeff jeff jeffrey joao joe joe joe joe jose joseph kathleen kerry kikumi kirsten lara laurie leslie linda j linda lindsay lisa lora luiz lysa marchris marcia marcie mary maureen melinda michelle mona l nancy patrick ray rebecca w ricardo richard richard robert robert robert robin ron roy rubena sandra sarah scott boltonenron communication sergio stella stephen steve steve steven j sue susan j susan terri thane tom tom tom tom tracy cooperenron communication valeria vinio xi xienron communication steven j jeffrey christi l sarah robert lara gloria richard leslie paul aleck daniel howard joe roy janine christie jane rhonda l kathleen e susan rebecca shelley cormanetsenron janet butleretsenron kevin brad richterenron communication greg pipercorpenron kevin kim leslie going senior regulatory counsel iso new england starting last day portland area enjoyed working wish best everything new address mary hain senior regulatory counsel iso new england inc one sullivan road holyoke,Positive
happy bday way hope everything going well network problem hope get soon,Neutral
th grade ticktocker meeting detail location home kristen nancy dipaulo check spelling one time program sat preparation klein high school counselor senior presentation responsibility nancy galante planning holiday adoptafamily thanks beverly sally beverly gibson lois nichols diane howell sheila jortner sally beck terri agold grade level advisor give information ticktocker meeting send reminder notice people address beverly gibson yahoo get yahoo mail free access anywhere,Neutral
row tonight half priced pizza yes fat,Negative
sound good hour sufficient shoemaker kent geae thing great maybe time would hour lee probably kent look conference call today open hour kay,Neutral
john please let time come thanksjeb x,Positive
low think overvalued,Neutral
way owe wow balt tb chicariz car giant sd sf miami seattle oak,Positive
added fee sean crandall belief price stay changed broker apb prebon changed broker apb bloomberg changed broker apb amerex stephanie piwetz kate please check apb showed diana scholtes price fee apb show richter deal tom alonso deal apb show one trade bloomberg received broker confirm sean crandall apb show thanks,Neutral
changed mirant kerri disregard broker peak,Neutral
changed mw changed broker powerex sale changed prebon broker evelyn bloomberg chris mallory deal mw per bloomberg amerex west chris mallory dela amerex recognize prebon west dianna missing deal sell powerex mw midc light,Neutral
good please provide estimate week aga storage survey week stats aga last yr avg lifetime high lifetime low gas stge yr avg yr avg please estimate noon cst thank embedded image moved file picpcx ce message et toutes le piece jointes ciapres le message sont etablis lintention exclusive de s destinataires et sont confidentiels si vous recevez ce message par erreur merci de le detruire et den avertir immediatement lexpediteur toute utilisation de ce message non conforme sa destination toute diffusion ou toute publication totale ou partielle est interdite sauf autorisation expresse linternet ne permettant pa dassurer lintegrite de ce message bnp paribas et s filiales declinent toute responsabilite au titre de ce message dans lhypothese ou il aurait ete modifie message attachment message intended solely addressee confidential receive message error please delete immediately notify sender use accord purpose dissemination disclosure either whole partial prohibited except formal approval internet guarantee integrity message bnp paribas subsidiary shall therefore liable message modified picpcx file picpcx,Neutral
good reminder get aga estimate noon est cst today last last week thanks george elli bnp paribas commodity future inc ce message et toutes le piece jointes ciapres le message sont etablis lintention exclusive de s destinataires et sont confidentiels si vous recevez ce message par erreur merci de le detruire et den avertir immediatement lexpediteur toute utilisation de ce message non conforme sa destination toute diffusion ou toute publication totale ou partielle est interdite sauf autorisation expresse linternet ne permettant pa dassurer lintegrite de ce message bnp paribas et s filiales declinent toute responsabilite au titre de ce message dans lhypothese ou il aurait ete modifie message attachment message intended solely addressee confidential receive message error please delete immediately notify sender use accord purpose dissemination disclosure either whole partial prohibited except formal approval internet guarantee integrity message bnp paribas subsidiary shall therefore liable message modified,Negative
thanks robin,Positive
reminder office need spread sheet transformer payment please thanks kay,Neutral
accomplishment jumped window yet slappedcursed anyone entity significant way would understand vision value significant accomplishment lm deal revising structure figuring sell westlb stuff ge closing relatively short period time come vacation scatter day plan consecutive day kay,Positive
according bob badeer deal confirmed christian yoder lawyer check christian see add comment deal denote let anything else thanks kate kimberly two deal avista marked confirmed check confirmed put little note said confirm month someone say confirm deal something jog memory slept deal number thanks,Neutral
according kay mann shemin late,Neutral
according packet distributed meeting today bc appears calpine el paso williams aec marketing aec storage feb jive wassup importance high meeting today please find attached list contract ecc taking view properly terminated date termination ecc opinion list last updated went away bryan counterparties added list please let kyle eric john soon possible thanks greg file terminated agreementsjandoc,Negative
according edf terminating line u today sarah,Neutral
account credit inc eci sara shackleton north america corp smith street eb houston texas phone fax forwarded sara shackletonhouect sara shackleton tom account credit inc eci pamela please call regarding account assignment right person please forward request advise anxious executed thank assistance sara shackleton north america corp smith street eb houston texas phone fax forwarded sara shackletonhouect sara shackleton account credit inc eci pamela also sending attached message nikki kroll thanks sara shackleton north america corp smith street eb houston texas phone fax forwarded sara shackletonhouect sara shackleton account credit inc eci nikki lawyer ena understand involved execution goldman sachs co gsceci corporate account agreement working cheryl nelson stephanie panus ena ena would like transfer several account eci connection therewith attaching form assignment assumption agreement purpose document based upon similar agreement executed gsc ena ect investment inc ask please advise following effective date corporate account agreement eci gsc executed gsc attached form assignment acceptable anybody else gsc need involved reviewexecution attached assignment please let hear commercial group extremely anxious effectuate transfer thank assistance sara shackleton north america corp smith street eb houston texas phone fax,Neutral
adam good question exchange nymex online offer nearly identical product fight execution model superior would argue technology make open outcry exchange extinct happened europe already largest commodity exchange europe liffe went parallel electronic system open outcry within week floor deserted virtually trading occurred electronically still trade exchange credit issue individual certain hedge fund limit trading direct exchange still provides credit intermediation function useful certainly issue trying address john bayer adam ryan dear mr arnold nice meet yesterday information session thank dinner last night great time getting people relaxed setting conversation yesterday confused point made stated spent time phone trader new york talk trader try steer towards online trading outside online think underlying question asking online meant facilitate gas trader job meant bypass trader completely thanks time dinner look forward talking come campus interview cordially adam bayer adam ryan vanderbilt university,Positive
adam hope interview go well thing going crazy gas market unfotunately stuck desk go interview far interview go advise would interview confident answer question asked afraid say make excuse express interest find appealing compared company interviewing trading training program still work people outside trading area even aware existence point would ask question interview receive offer would probably normal analyst position opportunity enter training program arrive sure last statement though training program geared towards two mature pure trading business area gas power still large number trading spot developing commodity side would fall program function program developed head two business ready take corporatewide yet write interview went good luck john adam bayer hi john today must pleased recent number could tell little trading training program mentioned wanted expand two year extra entail selected interview next look forward seeing tip approaching interview process poured company website tip would love hear thanks time hope see cordially adam bayer,Positive
adam passed comment along credit department waiting response touch base hopefully wrap soon marie marie heard senior legal specialist north america corp phone fax marie wondering could give update regarding status comment isda place get insistent given amount time took u compile remark still sure everyone eager get issue resolved document place thanks adam auten,Positive
additional people give access financial trading directory read write access errol mclaughlin joey taylor laura vargas kori loibl matt olney ina rangel becky young kimberly hillis thanks help john,Neutral
adrianne spoke brent would recommend given chance interview program phillip phillip let try onethanks adrianne adrianne download resume please resend phillip phillip candidate spoke brent currently work london office analyst looking come houston office would like get st interview contact information resume number well london line direct brent dial thank adrianne x resume attached,Neutral
agree guy short hj hard see big move cashfutures trading flat agree squeeze potential though started moving today simultaneously started running j aron big customer deal customer maybe hedge fund bot jv put weather frustrating little long back hurt sure would nice get weather thing start going crazy seen liquid processing come back level would guess peak industrial demand different story industrial economy weak many petchems others burning le market fuel cost chrystler prime example switching back gas industrial switching back domestic production overseas muted weak economy ive short side reversed case weatherplus think everyone brother short hj agree mite take loss seems low risk next day two ct weather pissing tho see much industrial demand changeover fuel switching feb mar px level source saying yes hope well talk soon,Neutral
agree cara john please respond cancel deal id cara spicer dike energy trading marketing llc john arnold north america corp product ng fin fp ld henry hub tailgatelouisiana strip dec quantity mmbtus daily price usd mmbtu effective date dec termination date dec total quantity mmbtus trade date aug question please call intercontinentalexchange atlanta helpdesk regard n e r c n n e n l e x c h n g e chris lowe,Neutral
agree still supplydemand equilibrium unfortunately market lack catalyst sharp move bid week think continu e see slow erosion think slowly running place put ga discretionary storage guy belly full see cashfutures keep widening qv spread even though widens every day still long way go think get v nowhere p ut gas could see vx going buy every cantango spread market move winter go market go make money strongest product gas market nymex future ev erything else bloodbath socal basis gone p ast month canadian storage balance ridiculous import going blow away last new lng coming late novy rig count like ope n interest straight line gas behaving price inelastic like move last see little hope hj craziest spread board fundamentally priced spread though several reason industry us spread primaril link front board back think front keep dr ifting lower back find customer buy support get cal ish thus hj come ini think plus fundamental side iltoimceanoteslafontainecstevecsteveelafontainebanko sentwednesday much change johni dont see much hope bull side hot summer pt delay bearishness tcf bullish end oct hot rest summer either way say high priced hell wbo buying hj one lookin g little like augoctremember stupid ct hj maybe redicuous almost pt mktworld give winter strip hj get back reasonalbe ct like janfeb febmar mkt seems treating well still pluggin along far good im pretty much unwavering bearish convictionthink stil l maybe buck much morealways problem much wip take short term cust stuff buy side finally cooled guy hedged industrial sector still suffering bad bad margin chemical biz suck due importsammonia metal biz sucksresid price help little bcfday supply hope coolregards number,Neutral
agreement procedure extension request attached status report motion extension time filed generator interconnection coalition drafting committee group smaller subset larger industrywide plenary group formed result ferc directive convene interconnection conference develop consensus interconnection agreement procedure document industry would adopt industry plenary session yielded much result could expected large group setting drafting committee formed generator transmission owner transmission dependent utility isortos committee formed drafting interconnection agreement procedure document many company represented one committee ferc set filing due date final consensus interconnection document filed extension time complete drafting process finalize document ferc consideration one entity endorsed document entirety drafting negotiation still underway since larger plenary opportunity review document provided walkthrough drafter request extension file final comprehensive consensus interconnection document made addition filed extension anopr comment due date initially set extended allow larger plenary group reconvene week ferc twoday session discus final workproduct notice designating date time plenary session provided later date anticipating filing status report motion extension ferc granted request extension file attached status report motion notice granting extension question please hesitate contact u tonja wick manager energy supply policy alliance energy supplier edison electric institute phone fax fax interconnection status reportpdf notice granting extensionpdf alliance energy suppliersvcf,Neutral
aimee need set transport capacity ticket sitara heidi withers able help contract apply deal heidi julie meter able help also aimee lannou thu daren need service list contract set ena midtex line feb forward meter deal xprtung ena valid contract ship midtexas line volume management would like done close please let aimee,Neutral
aleck try find sure material responsive read article sending others list maybe ursula brenner help pull response together jim jim preparing response recent article toronto star liberal left anticompetition editorial board toronto largest circulation daily lisa faxing copy rick mentioned data economic environmental benefit accrue greater optimization treansmission grid assistnt send data thanks aleck fax number aleck dadson senior director government affair canada corp york street toronto mj tel fax,Neutral
alejandra information hope using time time birthday st phone although phone might change kick think birthday stay touch vladi p please forward info hello everyone hope make tomorrow hope still keep touch would love address external birthday phone number would also like thank friendship past great working peace blessing alejandra please join u night spend time alejandra last night houston wish best luck move el paso tx night time drop beginning around dog house tavern direction hope see everyone address bagby downtown head away downtown smith street take right w gray take left bagby dog house tavern left small shopping center corner smith mcgowen,Neutral
alexis think going cookoff decline sorry mat,Negative
kidding aside start sending link job site paper denver pl,Neutral
sound great pick one like place kim watson kimberly original message kim idea sounded pretty good got list place lisa also benjy dunstan ballys raven grill bissonett goode company seafood sierra grill floridita seafood grill place kirbyrichmond tony mandola seafood river oak sound good u think lisa preference avoid heavy place go either place variety something seafood oriented however flexible way sound perfect whatdaya think jeff jeffery c fawcett vice president sale western region sempra fiber link louisiana st ste houston texas houston office houston fax san diego office jeffery c fawcett emailvcf,Positive
allyson recent version ppa kay,Neutral
allyson suggestion language address issue termination reason page line insert limit deleting remainder sentence applicant requirement notify commission instance agreement terminated result applicant default thanks kay,Neutral
